hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,Morgendämmerung/Tagesanbruch,Zentrales Thema, das Hoffnung und neue Anfänge repräsentiert
深水,shēnshuǐ,很深的水,Tiefes Wasser,Repräsentiert Gefahr und Tod, der vor der Morgendämmerung tötet
月光,yuèguāng,月亮的光线,Mondlicht,Erleuchtet den Hals der Mittsommernacht
仲夏,zhòngxià,夏季的中间,Hochsommer,Saisonale Referenz, die Atmosphäre schafft
脖子,bózi,头和肩膀之间的部分,Hals,Metaphorischer Körperteil, der Verwundbarkeit repräsentiert
秋天,qiūtiān,秋季,Herbst,Jahreszeit der Ernte und des Sammelns
收割,shōugē,收获农作物,Ernten,Aktion des Sammelns von Ernten
百姓,bǎixìng,普通人民,Gemeines Volk,Das Volk/die Gemeinschaft des Dichters
河流,héliú,流动的水道,Fluss,Natürliches Element, das Fluss und Leben repräsentiert
丈夫,zhàngfū,已婚男子的配偶,Ehemann,Metaphorische Referenz zum Fluss
亲人,qīnrén,家庭成员或亲近的人,Familienmitglied/Geliebter,Enge Familienbeziehung
抱玉,bàoyù,抱着玉石,Jade halten,Alte Referenz zu kostbaren Objekten
楚国,chǔguó,古代中国的一个国家,Staat Chu,Historische Referenz zum alten chinesischen Staat
双腿,shuāngtuǐ,两条腿,Beide Beine,Körperteile, die Mobilität repräsentieren
砍断,kǎnduàn,用刀砍断,Abhacken/abschneiden,Gewalttätige Aktion, die Verlust repräsentiert
五月,wǔyuè,第五个月,Mai,Referenz zum fünften Monat
***
陶罐,táoguàn,用陶土制成的容器,Tongefäß,Behälter, der Einschließung repräsentiert
打底,dǎdǐ,底部或基础,Boden/Basis,Fundament oder Basiselement
边缘,biānyuán,边界或界限,Rand/Grenze,Grenze oder Limit
挣脱,zhèngtuō,用力摆脱束缚,Sich befreien/entkommen,Befreiung von Einschränkungen
双手,shuāngshǒu,两只手,Beide Hände,Körperteile, die Aktion repräsentieren
飞翔,fēixiáng,在空中飞行,Fliegen/schweben,Freiheit und Bewegung
麦穗,màisuì,小麦的穗,Weizenähre,Landwirtschaftliches Symbol
太阳,tàiyáng,太阳星,Sonne,Quelle von Licht und Leben
火焰,huǒyàn,燃烧的火苗,Flamme/Feuer,Element, das Leidenschaft und Zerstörung repräsentiert
飘忽不定,piāohūbùdìng,摇摆不定的样子,Flackernd/unstabil,Unsicherer Bewegung
面容,miànróng,脸的样子,Gesicht/Gesichtszüge,Körperliches Aussehen
天马,tiānmǎ,天上的马,Himmlisches Pferd,Mythisches Wesen, das Freiheit repräsentiert
***
黄昏,huánghūn,日落时分,Dämmerung/Abenddämmerung,Zeit zwischen Tag und Nacht
嫁妆,jiàzhuāng,女子出嫁时的财物,Mitgift,Heiratsgeschenk, das Übergang repräsentiert
姐妹,jiěmèi,同父母的女性,Schwestern,Weibliche Geschwister
断送,duànsòng,毁掉或失去,Ruinieren/zerstören,Ende oder Zerstörung
夜色,yèsè,夜晚的景色,Nachtszene,Atmosphäre der Nacht
钴,gǔ,一种金属元素,Kobalt,Chemisches Element
石头,shítou,岩石或石块,Stein/Fels,Solides natürliches Element
白雪,báixuě,白色的雪,Weißer Schnee,Reines natürliches Element
献出,xiànchū,恭敬地给予,Anbieten/widmen,Akt des Gebens
女神,nǚshén,女性的神,Göttin,Göttliche weibliche Figur
韵律,yùnlǜ,诗歌的节奏,Rhythmus/Metrum,Poetische Struktur
侍奉,shìfèng,服侍或伺候,Dienen/bedienen,Akt des Dienstes
流血,liúxuè,血液流出,Bluten,Körperliches Leiden
汕头,shàntóu,中国的一个城市,Stadt Shantou,Geografische Referenz
伤口,shāngkǒu,受伤的地方,Wunde,Körperliche Verletzung
慰藉,wèijiè,安慰或抚慰,Trösten,Trost
遗忘,yíwàng,忘记或失去记忆,Vergessen,Gedächtnisverlust
伴侣,bànlǚ,一起生活的人,Gefährte,Lebenspartner
火把,huǒbǎ,用来照明的火,Fackel,Quelle des Lichts
辨认,biànrèn,识别或确认,Erkennen/identifizieren,Prozess der Erkennung
嘴脸,zuǐliǎn,脸的样子,Gesicht/Züge,Gesichtsaussehen
无可救药,wúkějiùyào,无法挽救的,Unheilbar/hoffnungslos,Jenseits der Hilfe
肉体,ròutǐ,人的身体,Fleisch/Körper,Körperliche Form
草原,cǎoyuán,长满草的原野,Grasland/Steppe,Offene natürliche Landschaft
帐篷,zhàngpeng,用来居住的篷子,Zelt,Shelter-Struktur
编织,biānzhī,用线织成布,Weben/Stricken,Textile Schöpfung
纺轮,fǎnglún,用来纺线的工具,Spinnrad,Textilwerkzeug
轮轴,lúnzhóu,车轮的中心轴,Achse/Welle,Mechanische Komponente
屈从,qūcóng,屈服或顺从,Sich unterwerfen/nachgeben,Akt der Kapitulation
晚霞,wǎnxiá,傍晚的彩云,Abendglühen,Sonnenuntergangsfarben
起飞,qǐfēi,飞机开始飞行,Abheben,Beginn des Flugs
秘密,mìmì,不公开的事情,Geheimnis,Verborgenes Wissen
高空,gāokōng,很高的天空,Große Höhe,Erhöhter Raum
血红,xuèhóng,像血一样的红色,Blutrot,Tiefe rote Farbe
月亮,yuèliàng,地球的卫星,Mond,Himmlischer Körper
迟至,chízhì,最晚到,So spät wie,Zeitliche Referenz
诉说,sùshuō,详细地讲述,Erzählen/narrativ,Akt des Sprechens
判,pàn,判决或判定,Verurteilen/verurteilen,Rechtliches Urteil
家园,jiāyuán,家乡或故乡,Heimat,Zugehörigkeitsort
结伴,jiébàn,一起同行,Zusammen reisen,Kameradschaft
青春,qīngchūn,年轻的时候,Jugend,Junges Alter
革命,gémìng,社会制度的根本改变,Revolution,Sozialer Wandel
札记,zhájì,读书时做的笔记,Notizen/Tagebuch,Geschriebene Aufzeichnungen
难民,nànmín,因战争等原因流离失所的人,Flüchtling,Vertriebene Person
镌刻,juānkè,在硬物上刻字,Gravieren/schnitzen,Künstlerische Schöpfung
乞讨,qǐtǎo,向人要钱或食物,Betteln,Akt des Bittens um Hilfe
木碗,mùwǎn,用木头做的碗,Holzschüssel,Einfacher Behälter
眼红,yǎnhóng,嫉妒或羡慕,Neidisch/rotäugig,Emotionaler Zustand
***
