hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,夜明け/黎明,希望と新しい始まりを表す中心テーマ
深水,shēnshuǐ,很深的水,深い水,夜明け前に殺す危険と死を表す
月光,yuèguāng,月亮的光线,月光,真夏の夜の首を照らす
仲夏,zhòngxià,夏季的中间,真夏,雰囲気を作る季節的参照
脖子,bózi,头和肩膀之间的部分,首,脆弱性を表す比喩的身体部分
秋天,qiūtiān,秋季,秋,収穫と集めの季節
收割,shōugē,收获农作物,収穫する,作物を集める行為
百姓,bǎixìng,普通人民,庶民,詩人の人々/コミュニティ
河流,héliú,流动的水道,川,流れと生命を表す自然要素
丈夫,zhàngfū,已婚男子的配偶,夫,川への比喩的参照
亲人,qīnrén,家庭成员或亲近的人,家族/愛する人,親密な家族関係
抱玉,bàoyù,抱着玉石,玉を抱く,貴重な物への古代参照
楚国,chǔguó,古代中国的一个国家,楚の国,古代中国国家への歴史的参照
双腿,shuāngtuǐ,两条腿,両足,移動性を表す身体部分
砍断,kǎnduàn,用刀砍断,切り落とす/切断する,損失を表す暴力的行為
五月,wǔyuè,第五个月,五月,第五月への参照
***
陶罐,táoguàn,用陶土制成的容器,陶器の壺,監禁を表す容器
打底,dǎdǐ,底部或基础,底/基礎,基盤または基本要素
边缘,biānyuán,边界或界限,縁/境界,境界または限界
挣脱,zhèngtuō,用力摆脱束缚,脱出する/逃げる,制約からの解放
双手,shuāngshǒu,两只手,両手,行動を表す身体部分
飞翔,fēixiáng,在空中飞行,飛ぶ/舞い上がる,自由と動き
麦穗,màisuì,小麦的穗,麦の穂,農業的象徴
太阳,tàiyáng,太阳星,太陽,光と生命の源
火焰,huǒyàn,燃烧的火苗,炎/火,情熱と破壊を表す要素
飘忽不定,piāohūbùdìng,摇摆不定的样子,揺らめく/不安定,不確実な動き
面容,miànróng,脸的样子,顔/顔の特徴,物理的外見
天马,tiānmǎ,天上的马,天馬,自由を表す神話的動物
***
黄昏,huánghūn,日落时分,黄昏/夕暮れ,昼と夜の間の時間
嫁妆,jiàzhuāng,女子出嫁时的财物,嫁入り道具,移行を表す結婚の贈り物
姐妹,jiěmèi,同父母的女性,姉妹,女性の兄弟
