hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,새벽/여명,희망과 새로운 시작을 나타내는 중심 주제
深水,shēnshuǐ,很深的水,깊은 물,새벽 전에 죽이는 위험과 죽음을 나타냄
月光,yuèguāng,月亮的光线,달빛,한여름 밤의 목을 비춤
仲夏,zhòngxià,夏季的中间,한여름,분위기를 만드는 계절적 참조
脖子,bózi,头和肩膀之间的部分,목,취약성을 나타내는 은유적 신체 부위
秋天,qiūtiān,秋季,가을,수확과 수집의 계절
收割,shōugē,收获农作物,수확하다,작물을 모으는 행위
百姓,bǎixìng,普通人民,백성,시인의 사람들/공동체
河流,héliú,流动的水道,강,흐름과 생명을 나타내는 자연 요소
丈夫,zhàngfū,已婚男子的配偶,남편,강에 대한 은유적 참조
亲人,qīnrén,家庭成员或亲近的人,가족/사랑하는 사람,가까운 가족 관계
抱玉,bàoyù,抱着玉石,옥을 안다,귀중한 물건에 대한 고대 참조
楚国,chǔguó,古代中国的一个国家,초나라,고대 중국 국가에 대한 역사적 참조
双腿,shuāngtuǐ,两条腿,양다리,이동성을 나타내는 신체 부위
砍断,kǎnduàn,用刀砍断,자르다/절단하다,상실을 나타내는 폭력적 행위
五月,wǔyuè,第五个月,오월,다섯 번째 달에 대한 참조
***
陶罐,táoguàn,用陶土制成的容器,도기 항아리,감금을 나타내는 용기
打底,dǎdǐ,底部或基础,바닥/기초,기초 또는 기본 요소
边缘,biānyuán,边界或界限,가장자리/경계,경계 또는 한계
挣脱,zhèngtuō,用力摆脱束缚,벗어나다/도망치다,제약에서의 해방
双手,shuāngshǒu,两只手,양손,행동을 나타내는 신체 부위
飞翔,fēixiáng,在空中飞行,날다/솟아오르다,자유와 움직임
麦穗,màisuì,小麦的穗,밀 이삭,농업적 상징
太阳,tàiyáng,太阳星,태양,빛과 생명의 원천
火焰,huǒyàn,燃烧的火苗,불꽃/불,열정과 파괴를 나타내는 요소
飘忽不定,piāohūbùdìng,摇摆不定的样子,흔들거리다/불안정하다,불확실한 움직임
面容,miànróng,脸的样子,얼굴/얼굴 특징,물리적 외모
天马,tiānmǎ,天上的马,천마,자유를 나타내는 신화적 생물
***
黄昏,huánghūn,日落时分,황혼/땅거미,낮과 밤 사이의 시간
嫁妆,jiàzhuāng,女子出嫁时的财物,혼수,전환을 나타내는 결혼 선물
姐妹,jiěmèi,同父母的女性,자매,여성 형제
断送,duànsòng,毁掉或失去,망치다/파괴하다,끝 또는 파괴
夜色,yèsè,夜晚的景色,야경,밤의 분위기
钴,gǔ,一种金属元素,코발트,화학 원소
石头,shítou,岩石或石块,돌/바위,고체 자연 요소
白雪,báixuě,白色的雪,흰 눈,순수한 자연 요소
献出,xiànchū,恭敬地给予,바치다/헌신하다,주는 행위
女神,nǚshén,女性的神,여신,신성한 여성 인물
韵律,yùnlǜ,诗歌的节奏,운율/격률,시적 구조
侍奉,shìfèng,服侍或伺候,모시다/봉사하다,봉사의 행위
流血,liúxuè,血液流出,피를 흘리다,육체적 고통
汕头,shàntóu,中国的一个城市,산터우 시,지리적 참조
伤口,shāngkǒu,受伤的地方,상처,육체적 손상
慰藉,wèijiè,安慰或抚慰,위로하다,감정적 치유
遗忘,yíwàng,忘记或失去记忆,잊다,기억의 상실
伴侣,bànlǚ,一起生活的人,동반자,인생의 파트너
火把,huǒbǎ,用来照明的火,횃불,빛의 원천
辨认,biànrèn,识别或确认,인식하다/식별하다,인식의 과정
嘴脸,zuǐliǎn,脸的样子,얼굴/특징,얼굴의 외모
无可救药,wúkějiùyào,无法挽救的,구제불능/절망적,도움의 손길이 닿지 않음
肉体,ròutǐ,人的身体,육체/몸,물리적 형태
草原,cǎoyuán,长满草的原野,초원/스텝,열린 자연 경관
帐篷,zhàngpeng,用来居住的篷子,텐트,피난처 구조
编织,biānzhī,用线织成布,짜다/뜨다,섬유 창조
纺轮,fǎnglún,用来纺线的工具,물레,섬유 도구
轮轴,lúnzhóu,车轮的中心轴,차축/샤프트,기계적 구성 요소
屈从,qūcóng,屈服或顺从,굴복하다/항복하다,항복의 행위
晚霞,wǎnxiá,傍晚的彩云,석양,일몰의 색깔
起飞,qǐfēi,飞机开始飞行,이륙하다,비행의 시작
秘密,mìmì,不公开的事情,비밀,숨겨진 지식
高空,gāokōng,很高的天空,고공,높은 공간
血红,xuèhóng,像血一样的红色,혈색,깊은 빨간색
月亮,yuèliàng,地球的卫星,달,천체
迟至,chízhì,最晚到,늦어도,시간적 참조
诉说,sùshuō,详细地讲述,말하다/서술하다,말하는 행위
判,pàn,判决或判定,판결하다/선고하다,법적 판단
家园,jiāyuán,家乡或故乡,고향/조국,소속의 장소
结伴,jiébàn,一起同行,함께 여행하다,동반자 의식
青春,qīngchūn,年轻的时候,청춘,젊은 나이
革命,gémìng,社会制度的根本改变,혁명,사회적 변화
札记,zhájì,读书时做的笔记,노트/일기,쓰여진 기록
难民,nànmín,因战争等原因流离失所的人,난민,피난민
镌刻,juānkè,在硬物上刻字,조각하다/새기다,예술적 창조
乞讨,qǐtǎo,向人要钱或食物,구걸하다,도움을 구하는 행위
木碗,mùwǎn,用木头做的碗,나무 그릇,간단한 용기
眼红,yǎnhóng,嫉妒或羡慕,부러워하다/빨간 눈,감정적 상태
***
混沌,hùndùn,混乱无序的状态,혼돈/혼란,무질서한 상태
头颅,tóulú,人的头部,머리/두개골,마음을 나타내는 신체 부위
运货马车,yùnhuòmǎchē,用来运货的马车,화물 마차,운송 차량
摇摇晃晃,yáoyáohuànghuàng,摇摆不定的样子,흔들거리다/불안정하다,불안정한 움직임
山冈,shāngāng,小山或丘陵,언덕/작은 산,높은 땅
马车夫,mǎchēfū,驾驶马车的人,마부,운송업자
上帝,shàngdì,最高的神,하나님,신성한 존재
肮脏,āngzāng,不干净的样子,더럽다/불결하다,불순한 상태
膝盖,xīgài,大腿和小腿之间的关节,무릎,신체 관절
鞭子,biānzi,用来驱赶牲畜的工具,채찍,통제 도구
绝望,juéwàng,完全失去希望,절망/희망 없음,감정적 상태
***
打扫,dǎsǎo,清理或清扫,청소하다/쓸다,청소 행위
陌不相识,mòbùxiāngshí,不认识的人,낯선 사람/알지 못함,익숙하지 않은 사람
寂寞,jìmò,孤单冷清的感觉,외롭다,감정적 고립
阴沉,yīnchén,天气阴暗的样子,음침하다/어둡다,대기적 상태
泉水,quánshuǐ,从地下涌出的水,샘물,자연의 수원
白白,báibái,没有效果地,헛되이,목적 없음
开放,kāifàng,花朵张开或开放,열다/피다,자연 과정
美丽,měilì,好看的样子,아름답다,긍정적 미적 품질
负伤,fùshāng,受伤或受伤,부상당하다/상처받다,육체적 손상
麦子,màizi,小麦的植株,밀,곡물 작물
芳香,fāngxiāng,好闻的气味,향기롭다,향기로운 품질
荒凉,huāngliáng,人烟稀少的样子,황량하다/불모지,빈 경관
承受,chéngshòu,接受或承担,견디다/받아들이다,부담의 수용
雷霆,léitíng,打雷的声音,천둥,자연 현상
圣书,shèngshū,神圣的书籍,성서,신성한 텍스트
上卷,shàngjuàn,书的上半部分,상권,책의 첫 번째 부분
翅膀,chìbǎng,鸟类用来飞行的器官,날개,비행을 위한 신체 부위
明亮,míngliàng,光线充足的样子,밝다/선명하다,빛의 품질
阴沉沉,yīnchénchén,天气很阴暗的样子,음침하다,대기적 상태
下卷,xiàjuàn,书的下半部分,하권,책의 두 번째 부분
欢乐,huānlè,快乐的样子,기쁘다/행복하다,긍정적 감정
空空荡荡,kōngkōngdàngdàng,空无一物的样子,비어있다/공허하다,내용의 부재
合成,héchéng,把不同的东西合在一起,결합하다/융합하다,통일 과정
劈开,pīkāi,用刀斧等分开,가르다/쪼개다,분할 행위
肢体,zhītǐ,人的四肢和身体,사지/신체 부위,물리적 구성 요소
***
手捧,shǒupěng,用手捧着,손으로 받들다,물리적 행위
亲生,qīnshēng,自己生的孩子,친생/자신의,직접 관계
鲜血,xiānxuè,新鲜的血液,신선한 피,살아있는 피
杯子,bēizi,用来喝水的器皿,컵/잔,용기
光明,guāngmíng,光亮的样子,광명/빛,조명
孪生,luánshēng,双胞胎,쌍둥이,동일한 형제
兄弟,xiōngdì,同父母的男性,형제,남성 형제
古波斯,gǔbōsī,古代的波斯,고대 페르시아,역사적 지역
高原,gāoyuán,海拔较高的平地,고원/고지,높은 땅
地带,dìdài,一定的区域,지역/지대,지리적 영역
神圣,shénshèng,神圣不可侵犯的,신성/성스럽다,신성한 품질
经典,jīngdiǎn,具有权威性的著作,고전/정전,권위적 텍스트
原野,yuányě,没有树木的广阔平地,원야/황야,열린 경관
洪水,hóngshuǐ,大雨造成的灾害,홍수,자연 재해
漫上,mànshàng,水涨上来,범람하다,물의 상승
两岸,liǎng'àn,河的两边,양안,강의 양쪽
平原,píngyuán,地势平坦的地方,평원/평지,평평한 지형
剑刃,jiànrèn,剑的锋利部分,검날,날카로운 날
光芒,guāngmáng,强烈的光线,광망/빛,빛나는 빛
走遍,zǒubiàn,走遍所有地方,두루 다니다,완전한 여행
印度,yìndù,南亚的一个国家,인도,국가명
西藏,xīzàng,中国的一个自治区,티베트,지역명
长途跋涉,chángtúbáshè,走很长的路,장거리 여행,연장된 여행
雪山,xuěshān,终年积雪的山,설산,고고도의 봉우리
乱石,luànshí,散乱的石头,흩어진 돌,무질서한 돌
狮子,shīzi,一种大型猫科动物,사자,야생 동물
寻求,xúnqiú,寻找或追求,구하다/찾다,적극적 추구
女儿,nǚ'ér,女性的孩子,딸,여성 아이
诗,shī,文学的一种体裁,시,문학 형태
流放,liúfàng,被驱逐到远方,유배,추방
故乡,gùxiāng,出生的地方,고향,출신지
山巅,shāndiān,山的最高处,산봉우리,정상
采纳,cǎinà,接受或采用,채택하다/받아들이다,수용
言词,yáncí,说话的内容,언사/연설,언어
田野,tiányě,耕种的土地,전야,농업용지
粮食,liángshi,可以吃的谷物,곡물/식량,주식
谷仓,gǔcāng,储存粮食的地方,곡창,저장 건물
覆盖,fùgài,遮盖在上面,덮다,보호층
怨恨,yuànhèn,强烈的不满或仇恨,원한,부정적 감정
祝福,zhùfú,美好的祝愿,축복,긍정적 소원
黑暗,hēi'àn,没有光线的状态,어둠,빛의 부재
母亲,mǔqīn,生养自己的女性,어머니,여성 부모
地母,dìmǔ,大地母亲,대지 어머니,신성한 여성
夜晚,yèwǎn,天黑到天亮的时间,밤,어둠의 시간
归,guī,属于或归属,속하다,소유
少女,shàonǚ,年轻的女孩,소녀,여성 젊은이
佩带,pèidài,佩戴或装饰,착용하다/장식하다,장식적 행위
花朵,huāduǒ,植物的花,꽃,자연의 아름다움
鲜嫩,xiānnèn,新鲜嫩滑的样子,신선하다/부드럽다,젊음의 품질
嘴唇,zuǐchún,嘴的边缘部分,입술,신체 부위
火焰般,huǒyànbān,像火焰一样,불꽃 같다,불 같은 품질
原始,yuánshǐ,最初的或最初的,원시/원래,고대 상태
头盖骨,tóugàigǔ,头部的骨头,두개골,뼈 구조
掀开,xiānkāi,揭开或打开,들어올리다/열다,여는 행위
