hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,Amanecer/aurora,Tema central que representa esperanza y nuevos comienzos
深水,shēnshuǐ,很深的水,Agua profunda,Representa peligro y muerte que mata antes del amanecer
月光,yuèguāng,月亮的光线,Luz de luna,Ilumina el cuello de la noche de pleno verano
仲夏,zhòngxià,夏季的中间,Pleno verano,Referencia estacional que crea atmósfera
脖子,bózi,头和肩膀之间的部分,Cuello,Parte corporal metafórica que representa vulnerabilidad
秋天,qiūtiān,秋季,Otoño,Estación de cosecha y recolección
收割,shōugē,收获农作物,Cosechar,Acción de recoger cultivos
百姓,bǎixìng,普通人民,Pueblo común,La gente/comunidad del poeta
河流,héliú,流动的水道,Río,Elemento natural que representa flujo y vida
丈夫,zhàngfū,已婚男子的配偶,Esposo,Referencia metafórica al río
亲人,qīnrén,家庭成员或亲近的人,Familiar/ser querido,Relación familiar cercana
抱玉,bàoyù,抱着玉石,Abrazar jade,Referencia antigua a objetos preciosos
楚国,chǔguó,古代中国的一个国家,Estado de Chu,Referencia histórica al estado chino antiguo
双腿,shuāngtuǐ,两条腿,Ambas piernas,Partes del cuerpo que representan movilidad
砍断,kǎnduàn,用刀砍断,Cortar/amputar,Acción violenta que representa pérdida
五月,wǔyuè,第五个月,Mayo,Referencia al quinto mes
***
陶罐,táoguàn,用陶土制成的容器,Jarra de cerámica,Contenedor que representa confinamiento
打底,dǎdǐ,底部或基础,Fondo/base,Elemento de fundación o base
边缘,biānyuán,边界或界限,Borde/límite,Frontera o límite
挣脱,zhèngtuō,用力摆脱束缚,Liberarse/escapar,Liberación de restricciones
双手,shuāngshǒu,两只手,Ambas manos,Partes del cuerpo que representan acción
飞翔,fēixiáng,在空中飞行,Volar/elevarse,Libertad y movimiento
麦穗,màisuì,小麦的穗,Espiga de trigo,Símbolo agrícola
太阳,tàiyáng,太阳星,Sol,Fuente de luz y vida
火焰,huǒyàn,燃烧的火苗,Llama/fuego,Elemento que representa pasión y destrucción
