hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,รุ่งอรุณ/แสงอรุณ,หัวข้อหลักที่แสดงถึงความหวังและการเริ่มต้นใหม่
深水,shēnshuǐ,很深的水,น้ำลึก,แสดงถึงอันตรายและความตายที่ฆ่าก่อนรุ่งอรุณ
月光,yuèguāng,月亮的光线,แสงจันทร์,ส่องแสงที่คอของคืนกลางฤดูร้อน
仲夏,zhòngxià,夏季的中间,กลางฤดูร้อน,การอ้างอิงตามฤดูกาลที่สร้างบรรยากาศ
脖子,bózi,头和肩膀之间的部分,คอ,ส่วนร่างกายที่เป็นอุปมาที่แสดงถึงความอ่อนแอ
秋天,qiūtiān,秋季,ฤดูใบไม้ร่วง,ฤดูกาลของการเก็บเกี่ยวและการรวบรวม
收割,shōugē,收获农作物,เก็บเกี่ยว,การกระทำของการรวบรวมพืชผล
百姓,bǎixìng,普通人民,ประชาชนทั่วไป,ประชาชน/ชุมชนของกวี
河流,héliú,流动的水道,แม่น้ำ,องค์ประกอบธรรมชาติที่แสดงถึงการไหลและชีวิต
丈夫,zhàngfū,已婚男子的配偶,สามี,การอ้างอิงที่เป็นอุปมาถึงแม่น้ำ
亲人,qīnrén,家庭成员或亲近的人,สมาชิกครอบครัว/คนรัก,ความสัมพันธ์ครอบครัวที่ใกล้ชิด
抱玉,bàoyù,抱着玉石,กอดหยก,การอ้างอิงโบราณถึงวัตถุมีค่า
楚国,chǔguó,古代中国的一个国家,รัฐฉู่,การอ้างอิงทางประวัติศาสตร์ถึงรัฐจีนโบราณ
双腿,shuāngtuǐ,两条腿,ขาทั้งสอง,ส่วนร่างกายที่แสดงถึงการเคลื่อนไหว
砍断,kǎnduàn,用刀砍断,ตัด/ตัดขาด,การกระทำที่รุนแรงที่แสดงถึงการสูญเสีย
五月,wǔyuè,第五个月,พฤษภาคม,การอ้างอิงถึงเดือนที่ห้า
***
陶罐,táoguàn,用陶土制成的容器,ไหดินเผา,ภาชนะที่แสดงถึงการกักขัง
打底,dǎdǐ,底部或基础,ก้น/ฐาน,องค์ประกอบพื้นฐานหรือฐาน
边缘,biānyuán,边界或界限,ขอบ/เขตแดน,ขอบเขตหรือขีดจำกัด
挣脱,zhèngtuō,用力摆脱束缚,หลุดพ้น/หนี,การปลดปล่อยจากข้อจำกัด
双手,shuāngshǒu,两只手,มือทั้งสอง,ส่วนร่างกายที่แสดงถึงการกระทำ
飞翔,fēixiáng,在空中飞行,บิน/ลอยขึ้น,เสรีภาพและการเคลื่อนไหว
麦穗,màisuì,小麦的穗,รวงข้าวสาลี,สัญลักษณ์ทางการเกษตร
太阳,tàiyáng,太阳星,ดวงอาทิตย์,แหล่งของแสงและชีวิต
火焰,huǒyàn,燃烧的火苗,เปลวไฟ/ไฟ,องค์ประกอบที่แสดงถึงความหลงใหลและการทำลาย
飘忽不定,piāohūbùdìng,摇摆不定的样子,กระพริบ/ไม่เสถียร,การเคลื่อนไหวที่ไม่แน่นอน
面容,miànróng,脸的样子,ใบหน้า/ลักษณะใบหน้า,รูปลักษณ์ทางกายภาพ
天马,tiānmǎ,天上的马,ม้าสวรรค์,สัตว์ในตำนานที่แสดงถึงเสรีภาพ
***
黄昏,huánghūn,日落时分,พลบค่ำ/ยามเย็น,เวลาระหว่างกลางวันและกลางคืน
嫁妆,jiàzhuāng,女子出嫁时的财物,สินสอด,ของขวัญแต่งงานที่แสดงถึงการเปลี่ยนแปลง
姐妹,jiěmèi,同父母的女性,พี่สาวน้องสาว,พี่น้องหญิง
断送,duànsòng,毁掉或失去,ทำลาย/ทำลาย,จุดจบหรือการทำลาย
夜色,yèsè,夜晚的景色,ทิวทัศน์ยามค่ำ,บรรยากาศของคืน
钴,gǔ,一种金属元素,โคบอลต์,ธาตุเคมี
石头,shítou,岩石或石块,หิน/หินก้อน,องค์ประกอบธรรมชาติที่เป็นของแข็ง
白雪,báixuě,白色的雪,หิมะขาว,องค์ประกอบธรรมชาติที่บริสุทธิ์
献出,xiànchū,恭敬地给予,ถวาย/อุทิศ,การกระทำของการให้
女神,nǚshén,女性的神,เทพธิดา,ตัวละครหญิงศักดิ์สิทธิ์
韵律,yùnlǜ,诗歌的节奏,จังหวะ/เมตร,โครงสร้างบทกวี
