hanzi,pinyin,relevant language,definition,short description of its use in the poem
黎明,límíng,天快亮的时候,Bình minh/rạng đông,Chủ đề trung tâm đại diện cho hy vọng và khởi đầu mới
深水,shēnshuǐ,很深的水,Nước sâu,Đại diện cho nguy hiểm và cái chết giết chết trước bình minh
月光,yuèguāng,月亮的光线,Ánh trăng,Chiếu sáng cổ của đêm giữa hè
仲夏,zhòngxià,夏季的中间,Giữa hè,Tham chiếu theo mùa tạo ra bầu không khí
脖子,bózi,头和肩膀之间的部分,Cổ,Bộ phận cơ thể ẩn dụ đại diện cho sự dễ bị tổn thương
秋天,qiūtiān,秋季,Mùa thu,Mùa thu hoạch và thu thập
收割,shōugē,收获农作物,Thu hoạch,Hành động thu thập cây trồng
百姓,bǎixìng,普通人民,Nhân dân thường,Nhân dân/cộng đồng của nhà thơ
河流,héliú,流动的水道,Dòng sông,Yếu tố tự nhiên đại diện cho dòng chảy và sự sống
丈夫,zhàngfū,已婚男子的配偶,Chồng,Tham chiếu ẩn dụ đến dòng sông
亲人,qīnrén,家庭成员或亲近的人,Thành viên gia đình/người thân,Mối quan hệ gia đình gần gũi
抱玉,bàoyù,抱着玉石,Ôm ngọc bích,Tham chiếu cổ đại đến những vật quý giá
楚国,chǔguó,古代中国的一个国家,Nước Sở,Tham chiếu lịch sử đến nhà nước Trung Quốc cổ đại
双腿,shuāngtuǐ,两条腿,Cả hai chân,Bộ phận cơ thể đại diện cho sự di chuyển
砍断,kǎnduàn,用刀砍断,Chặt/cắt đứt,Hành động bạo lực đại diện cho sự mất mát
五月,wǔyuè,第五个月,Tháng Năm,Tham chiếu đến tháng thứ năm
***
陶罐,táoguàn,用陶土制成的容器,Bình gốm,Thùng chứa đại diện cho sự giam cầm
打底,dǎdǐ,底部或基础,Đáy/nền tảng,Yếu tố nền tảng hoặc cơ sở
边缘,biānyuán,边界或界限,Cạnh/ranh giới,Ranh giới hoặc giới hạn
挣脱,zhèngtuō,用力摆脱束缚,Thoát khỏi/trốn thoát,Sự giải phóng khỏi ràng buộc
双手,shuāngshǒu,两只手,Cả hai tay,Bộ phận cơ thể đại diện cho hành động
飞翔,fēixiáng,在空中飞行,Bay/lên cao,Tự do và chuyển động
麦穗,màisuì,小麦的穗,Bông lúa mì,Biểu tượng nông nghiệp
太阳,tàiyáng,太阳星,Mặt trời,Nguồn ánh sáng và sự sống
火焰,huǒyàn,燃烧的火苗,Ngọn lửa/lửa,Yếu tố đại diện cho đam mê và sự hủy diệt
飘忽不定,piāohūbùdìng,摇摆不定的样子,Lập lòe/không ổn định,Chuyển động không chắc chắn
面容,miànróng,脸的样子,Khuôn mặt/đặc điểm khuôn mặt,Vẻ ngoài thể chất
天马,tiānmǎ,天上的马,Ngựa thiên đường,Sinh vật thần thoại đại diện cho tự do
***
黄昏,huánghūn,日落时分,Hoàng hôn/chiều tà,Thời gian giữa ngày và đêm
嫁妆,jiàzhuāng,女子出嫁时的财物,Của hồi môn,Quà cưới đại diện cho sự chuyển đổi
姐妹,jiěmèi,同父母的女性,Chị em,Anh chị em nữ
断送,duànsòng,毁掉或失去,Hủy hoại/phá hủy,Kết thúc hoặc sự hủy diệt
夜色,yèsè,夜晚的景色,Cảnh đêm,Bầu không khí của đêm
钴,gǔ,一种金属元素,Coban,Nguyên tố hóa học
石头,shítou,岩石或石块,Đá/đá tảng,Yếu tố tự nhiên rắn
白雪,báixuě,白色的雪,Tuyết trắng,Yếu tố tự nhiên tinh khiết
献出,xiànchū,恭敬地给予,Dâng hiến/cống hiến,Hành động cho đi
女神,nǚshén,女性的神,Nữ thần,Nhân vật nữ thần thánh
韵律,yùnlǜ,诗歌的节奏,Nhịp điệu/thể thơ,Cấu trúc thơ ca
侍奉,shìfèng,服侍或伺候,Phục vụ/hỗ trợ,Hành động phục vụ
流血,liúxuè,血液流出,Chảy máu,Đau khổ thể chất
汕头,shàntóu,中国的一个城市,Thành phố Shantou,Tham chiếu địa lý
伤口,shāngkǒu,受伤的地方,Vết thương,Tổn thương thể chất
慰藉,wèijiè,安慰或抚慰,An ủi,Chữa lành cảm xúc
遗忘,yíwàng,忘记或失去记忆,Quên lãng,Mất trí nhớ
伴侣,bànlǚ,一起生活的人,Bạn đời,Bạn đời
火把,huǒbǎ,用来照明的火,Đuốc,Nguồn ánh sáng
辨认,biànrèn,识别或确认,Nhận ra/xác định,Quá trình nhận biết
嘴脸,zuǐliǎn,脸的样子,Khuôn mặt/đặc điểm,Vẻ ngoài của khuôn mặt
无可救药,wúkějiùyào,无法挽救的,Không thể cứu chữa/vô vọng,Ngoài tầm giúp đỡ
肉体,ròutǐ,人的身体,Xác thịt/cơ thể,Hình thức thể chất
